0.000000000000000000e+00,-4.729973897337913513e-02,8.381211012601852417e-02,9.815657734870911755e-01
8.455514907836914062e-03,-4.698912426829338074e-02,8.360844105482101440e-02,9.819343686103820801e-01
1.669239997863769531e-02,-4.644649848341941833e-02,8.346505463123322921e-02,9.824372529983520508e-01
2.504730224609375000e-02,-4.606283456087111733e-02,8.341851830482482910e-02,9.827678203582763672e-01
3.343081474304199219e-02,-4.554638266563416221e-02,8.330081403255462646e-02,9.827602505683900036e-01
4.140186309814453125e-02,-4.533369839191436768e-02,8.319288492202758789e-02,9.829700589179991566e-01
4.999804496765136719e-02,-4.506976529955863953e-02,8.318803459405899048e-02,9.832487702369692162e-01
5.831813812255859375e-02,-4.460467398166657188e-02,8.301451057195662064e-02,9.834040403366087757e-01
6.665778160095214844e-02,-4.421645030379294655e-02,8.287207782268524170e-02,9.835852980613708496e-01
7.505512237548828125e-02,-4.395734146237373352e-02,8.265868574380874634e-02,9.837220907211303711e-01
8.337831497192382812e-02,-4.331889748573303223e-02,8.248768001794815063e-02,9.838515520095824085e-01
9.177160263061523438e-02,-4.291900619864463806e-02,8.236188441514968872e-02,9.839815497398376465e-01
9.996867179870605469e-02,-4.251374304294586182e-02,8.236362040042877197e-02,9.838086366653442383e-01
1.084258556365966797e-01,-4.221375659108161926e-02,8.237326890230178833e-02,9.839359521865843616e-01
1.166183948516845703e-01,-4.222341254353523254e-02,8.225333690643310547e-02,9.843406677246093750e-01
1.250000000000000000e-01,-4.174982011318206787e-02,8.209343254566192627e-02,9.843054413795472302e-01
1.331236362457275391e-01,-4.134675860404968262e-02,8.201632648706436157e-02,9.842640757560729980e-01
1.417424678802490234e-01,-4.100299254059791565e-02,8.187820762395858765e-02,9.843355417251588024e-01
1.499316692352294922e-01,-4.081513360142707825e-02,8.175560832023620605e-02,9.842066168785096325e-01
1.581854820251464844e-01,-4.054306074976921082e-02,8.169860392808914185e-02,9.842119812965391956e-01
1.663742065429687500e-01,-4.005228355526923439e-02,8.159449696540832520e-02,9.841243624687195934e-01
1.766519546508789062e-01,-3.976854309439657731e-02,8.156797289848327637e-02,9.840641617774964489e-01
1.832766532897949219e-01,-3.951822593808172746e-02,8.152095973491668701e-02,9.840850234031676136e-01
1.920657157897949219e-01,-3.934972360730171204e-02,8.147042989730834961e-02,9.841057062149047852e-01
2.001066207885742188e-01,-3.891920670866966248e-02,8.128937333822250366e-02,9.841423034667967640e-01
2.084302902221679688e-01,-3.858900442719460228e-02,8.119060844182968140e-02,9.843223094940185547e-01
2.166309356689453125e-01,-3.829482197761536338e-02,8.108800649642944336e-02,9.843947291374207653e-01
2.291445732116699219e-01,-3.811990469694137573e-02,8.106563240289688110e-02,9.844818711280823864e-01
2.331178188323974609e-01,-3.778187930583953857e-02,8.105026930570602417e-02,9.845089316368104138e-01
2.418766021728515625e-01,-3.760701790452003479e-02,8.091809600591659546e-02,9.847190380096435547e-01
