-1.35815,-2.28367,0.833592,-0.981399,0.103096,0.0921033,-0.133211
-1.35814,-2.28363,0.833583,-0.981428,0.103066,0.0921182,-0.133007
-1.35819,-2.28365,0.833525,-0.981255,0.102759,0.0919559,-0.134623
-1.35818,-2.28366,0.833553,-0.981338,0.102867,0.0920121,-0.133897
-1.35818,-2.28365,0.833519,-0.981259,0.10277,0.0919321,-0.134601
-1.35815,-2.28367,0.833592,-0.981399,0.103096,0.0921033,-0.133211
-1.35815,-2.28363,0.833581,-0.981437,0.103038,0.0920941,-0.132977
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35814,-2.28362,0.833585,-0.981425,0.103067,0.0921329,-0.133022
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35817,-2.28365,0.833556,-0.981324,0.102913,0.0920427,-0.133938
-1.35814,-2.28363,0.833583,-0.981434,0.103038,0.0921083,-0.132991
-1.35818,-2.28366,0.833552,-0.981339,0.102865,0.0920062,-0.13389
-1.35814,-2.28363,0.833583,-0.981434,0.103038,0.0921083,-0.132991
-1.35819,-2.28366,0.833523,-0.981265,0.102728,0.0919306,-0.13459
-1.35818,-2.28366,0.833551,-0.981341,0.102868,0.0919979,-0.133883
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35815,-2.28367,0.833592,-0.981399,0.103096,0.0921033,-0.133211
-1.35818,-2.28366,0.833553,-0.981338,0.102867,0.0920121,-0.133897
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35818,-2.28366,0.833553,-0.981338,0.102867,0.0920121,-0.133897
-1.35818,-2.2836,0.833573,-0.981414,0.102855,0.0921314,-0.133266
-1.35819,-2.28366,0.833557,-0.981344,0.102826,0.0920106,-0.133885
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35819,-2.28366,0.833557,-0.981344,0.102826,0.0920106,-0.133885
-1.35814,-2.28362,0.833585,-0.981425,0.103067,0.0921329,-0.133022
-1.35817,-2.28365,0.833555,-0.981328,0.102896,0.0920368,-0.133928
-1.35814,-2.28362,0.833585,-0.981421,0.103084,0.0921388,-0.133032
-1.35819,-2.28366,0.833557,-0.981344,0.102826,0.0920106,-0.133885
-1.35814,-2.28362,0.833585,-0.981425,0.103067,0.0921329,-0.133022
-1.35814,-2.28362,0.833585,-0.981421,0.103084,0.0921388,-0.133032
